Time(min),Input=0,Input=1
0.0,0.00016845961294780477,0.00016845961294780477
1.0,0.00016687816716805546,0.00016687820042251712
2.0,0.00016556109340843644,0.00016556081226206862
3.0,0.00016447332574908558,0.0001644723621664838
4.0,0.0001635840759460665,0.00016358117104438424
5.0,0.00016286735100220817,0.00016286062331551045
6.0,0.00016230012017984832,0.00016228691805745003
7.0,0.00016186238364504393,0.0001618391438264748
8.0,0.0001615369907133839,0.0001614994175679926
9.0,0.00016130894901671765,0.0001612517807909608
10.0,0.00016116502993151674,0.00016108241838250865
11.0,0.0001610937268659355,0.00016097898372515775
12.0,0.0001610850977623074,0.00016093078883467596
13.0,0.0001611304736759674,0.0001609285845556537
14.0,0.00016122236375179803,0.0001609642316625566
15.0,0.0001613541865380937,0.00016103062634042817
16.0,0.00016152030988948643,0.00016112163587956896
17.0,0.00016171585393170255,0.00016123195966613645
18.0,0.00016193638631595828,0.00016135699246513655
19.0,0.00016217790743129534,0.00016149246715280397
20.0,0.00016243738151526014,0.00016163462998568367
21.0,0.00016271198346642303,0.00016178070336853557
22.0,0.0001629992937654431,0.0001619280488325851
23.0,0.00016329721569794604,0.00016207443272237273
24.0,0.00016360388817055575,0.00016221796638637843
25.0,0.000163917700186366,0.00016235697714074823
26.0,0.00016423716956996055,0.00016249004711027979
27.0,0.00016456111469160457,0.00016261592022339102
28.0,0.0001648884860800521,0.00016273348406123234
29.0,0.00016521839728920117,0.0001628419509044583
30.0,0.00016555005571325433,0.00016294060416226314
31.0,0.00016588278926746875,0.00016302886449113125
32.0,0.00016621603091394839,0.00016310624376570388
33.0,0.0001665492398001779,0.00016317236478021052
34.0,0.00016688197841635124,0.00016322693986231144
35.0,0.00016721390793987643,0.00016326969771734802
36.0,0.00016754468592236182,0.00016330047217212113
37.0,0.00016787401413928502,0.00016331918574679635
38.0,0.0001682016812684926,0.0001633257534666437
39.0,0.00016852749173307488,0.0001633201211396028
40.0,0.0001688512435658508,0.00016330231986217862
41.0,0.00016917280353178756,0.00016327240821279262
42.0,0.0001694920187050899,0.00016323041252443165
43.0,0.00016980889438299247,0.0001631764255444753
44.0,0.0001701232359282843,0.00016311049614082583
45.0,0.00017043501444623894,0.00016303294868777563
46.0,0.00017074417571734732,0.00016294373190806213
47.0,0.00017105067524046883,0.00016284304078985752
48.0,0.0001713544725713335,0.00016273105301786437
49.0,0.00017165553159969097,0.00016260792997805336
50.0,0.00017195384693272222,0.00016247384967769634
51.0,0.00017224940033168452,0.0001623289902279132
